Month,Department,Budgeted Amount,Actual Spending,Variance
Apr,Operations,7269,6421,-848
Aug,Sales,11826,9414,-2412
Nov,Finance,15296,17855,2559
Oct,Marketing,8429,5901,-2528
Aug,Marketing,16302,14511,-1791
Jul,Marketing,6174,5206,-968
Aug,Marketing,13657,14137,480
Apr,Operations,18715,16915,-1800
Nov,Marketing,11924,10116,-1808
Jun,Marketing,12113,11065,-1048
Oct,Finance,14579,15754,1175
Mar,IT,7247,4664,-2583
Apr,HR,14218,11554,-2664
Mar,HR,18464,21161,2697
May,Sales,7865,10269,2404
Oct,HR,15059,14066,-993
Jan,Sales,15495,15290,-205
Jul,HR,12176,14020,1844
Feb,Operations,10758,13284,2526
Apr,Operations,15799,12961,-2838
Jul,HR,15749,17553,1804
Oct,Marketing,5742,5207,-535
May,HR,11308,12858,1550
May,Marketing,11551,9178,-2373
Mar,Sales,18673,20423,1750
Jul,Sales,7250,4473,-2777
Apr,Finance,16255,14930,-1325
May,IT,18315,17373,-942
Oct,IT,5117,3820,-1297
May,Marketing,19161,22011,2850
Apr,IT,11095,13483,2388
Jul,HR,14182,12092,-2090
Aug,Marketing,9936,8179,-1757
Dec,Operations,13413,12222,-1191
Jan,HR,12649,15211,2562
Jul,HR,13799,14416,617
Sep,Sales,14497,14949,452
Jul,Sales,11734,13331,1597
Jun,Operations,11611,13959,2348
Aug,Marketing,10152,9188,-964
Jan,Marketing,19145,20695,1550
Dec,HR,18554,15584,-2970
Aug,Finance,5121,7186,2065
Jan,Finance,12599,14863,2264
Jan,Sales,16267,16668,401
Jan,Sales,6069,4770,-1299
May,Operations,9902,12647,2745
Feb,Operations,18121,17978,-143
Oct,Operations,10751,12760,2009
May,Sales,11593,14280,2687
Sep,IT,14904,15366,462
Dec,Operations,7572,9011,1439
Jul,Marketing,15528,14797,-731
Oct,IT,10657,11894,1237
May,IT,9962,10334,372
Aug,HR,16112,16578,466
Apr,Finance,12470,11191,-1279
May,Operations,17622,18188,566
Apr,HR,9858,10269,411
Oct,IT,8007,5918,-2089
Jan,Operations,18767,20277,1510
Feb,Finance,17536,18540,1004
Feb,IT,5615,3458,-2157
Feb,IT,7036,5419,-1617
Mar,HR,12214,10800,-1414
Jan,Operations,8840,8415,-425
Jun,HR,7625,4973,-2652
Jan,HR,15945,13755,-2190
Jun,IT,14049,13921,-128
Feb,HR,9171,7587,-1584
Jul,Operations,19342,17059,-2283
Dec,HR,6097,6951,854
Jun,IT,10530,12228,1698
Nov,HR,8126,8342,216
Mar,Marketing,11451,11352,-99
Jan,Finance,8628,6123,-2505
May,Sales,7137,8458,1321
Apr,IT,15226,17803,2577
Jul,Sales,6549,8202,1653
Jan,Sales,17068,18210,1142
Jun,IT,16707,14213,-2494
May,IT,5218,6079,861
Feb,Operations,9600,11695,2095
Nov,Sales,16000,15514,-486
Jun,Marketing,5611,8061,2450
Apr,IT,15962,16407,445
Oct,Operations,5425,7448,2023
Apr,Marketing,9321,6638,-2683
Oct,Operations,5545,5252,-293
Oct,Sales,18246,17995,-251
Feb,Finance,7864,6628,-1236
Jan,HR,17301,19830,2529
Sep,HR,14726,15694,968
Jun,Marketing,10146,8228,-1918
Oct,IT,14624,13159,-1465
May,Marketing,7582,6326,-1256
Aug,Marketing,17330,18509,1179
Feb,Marketing,6392,6263,-129
Feb,Sales,13169,12229,-940
Sep,Sales,7354,5956,-1398
Jun,Marketing,13582,11276,-2306
Apr,IT,12319,13884,1565
Mar,Marketing,14261,15780,1519
Jun,Marketing,19022,17920,-1102
Jan,HR,12916,14387,1471
Aug,Finance,16745,19426,2681
Oct,Sales,15168,15833,665
Apr,Marketing,16930,14641,-2289
Feb,Finance,14268,15315,1047
Jul,Marketing,9015,11191,2176
Oct,IT,18764,20724,1960
Nov,HR,18416,17887,-529
Jan,Operations,17144,17295,151
Jan,HR,5527,3630,-1897
Oct,Finance,11853,12108,255
Oct,HR,13670,12933,-737
Sep,HR,9497,9738,241
Jun,HR,18278,17562,-716
Apr,IT,11298,12604,1306
Nov,HR,6710,8264,1554
Jun,Operations,10135,9987,-148
Sep,Marketing,9957,9156,-801
Jul,Sales,6464,7939,1475
Nov,Marketing,11369,13229,1860
Jan,Finance,17324,19854,2530
Jul,Operations,17734,14914,-2820
May,HR,13070,15091,2021
Feb,Sales,7060,5540,-1520
Jul,Marketing,10435,12129,1694
Jan,Finance,15173,14899,-274
Jan,Finance,11536,11595,59
Jan,Sales,17286,14565,-2721
Jul,Marketing,12204,9829,-2375
Nov,Finance,15893,15158,-735
Nov,Operations,6240,7678,1438
Dec,Finance,14163,17149,2986
Sep,Marketing,18990,21448,2458
Nov,Sales,13836,11662,-2174
Jun,Finance,7982,9934,1952
Aug,HR,14444,12187,-2257
Sep,Operations,16305,15230,-1075
Sep,HR,14553,17514,2961
Jan,HR,16445,16401,-44
Feb,Sales,8510,8963,453
Mar,Sales,15857,15181,-676
Jul,IT,11230,10656,-574
Oct,Finance,6028,5729,-299
Oct,HR,11643,8709,-2934
Jun,Marketing,18526,16656,-1870
Dec,HR,17255,18532,1277
Sep,Marketing,19136,19386,250
Feb,Marketing,5304,3888,-1416
Jun,Finance,19378,17549,-1829
Feb,Finance,11198,9050,-2148
Dec,IT,7224,8415,1191
Mar,Operations,10334,10171,-163
Apr,Operations,7511,7354,-157
Feb,Marketing,15048,16927,1879
Dec,Operations,13926,12220,-1706
May,Operations,13910,16816,2906
Jan,IT,18467,16818,-1649
Apr,Marketing,7000,4390,-2610
Aug,Sales,11126,11406,280
May,Operations,12043,13535,1492
Mar,Marketing,19211,18469,-742
Feb,IT,13717,10745,-2972
May,Marketing,14534,14789,255
Apr,IT,18414,21245,2831
Jun,Sales,17922,20110,2188
Mar,HR,5723,7508,1785
May,Sales,15335,15160,-175
Aug,IT,13549,13684,135
Jun,Finance,13391,14854,1463
Jan,Sales,8534,11435,2901
May,HR,13130,10954,-2176
Jan,IT,13222,15759,2537
Nov,Sales,6100,3179,-2921
Jul,Marketing,5357,7983,2626
Apr,Marketing,11243,8897,-2346
Nov,Finance,15022,15437,415
Aug,Finance,9749,7166,-2583
Jun,Operations,11055,9787,-1268
Jan,HR,10991,11119,128
Nov,HR,5229,7828,2599
Mar,IT,15006,16769,1763
Sep,Operations,7789,8233,444
Dec,Finance,13602,10924,-2678
Nov,Sales,18817,18974,157
Sep,HR,12672,12199,-473
Sep,Sales,13828,13810,-18
Aug,HR,19561,21058,1497
Apr,Sales,7696,8131,435
Aug,Operations,6247,5929,-318
Apr,HR,8494,7535,-959
Dec,Sales,17637,20163,2526
Dec,IT,15570,13044,-2526
Mar,Operations,9672,10761,1089
Feb,IT,9176,11390,2214
Jul,IT,7275,8088,813
Feb,IT,12540,10935,-1605
Sep,Operations,10240,12935,2695
May,Sales,11922,11009,-913
Nov,Marketing,14489,12323,-2166
May,Marketing,10379,7934,-2445
Jun,Sales,12626,12529,-97
Apr,Operations,8717,11236,2519
Jul,Marketing,11465,9411,-2054
Jan,IT,7757,8368,611
Feb,Finance,18605,17116,-1489
Jan,HR,19455,21551,2096
Mar,Operations,11043,10231,-812
Feb,Marketing,8684,11400,2716
Dec,HR,16739,19650,2911
Mar,Finance,6841,5878,-963
Apr,Marketing,14783,12731,-2052
Sep,Finance,19301,20668,1367
Feb,Marketing,8714,10877,2163
Mar,Operations,17987,15661,-2326
Jan,IT,5093,3507,-1586
Jul,HR,6292,7829,1537
Apr,Operations,18623,21424,2801
Oct,IT,8168,6041,-2127
Mar,Marketing,17582,19420,1838
Jan,Operations,9890,12380,2490
Apr,Operations,16726,16950,224
Jun,HR,14974,13299,-1675
Jan,HR,11223,13181,1958
Mar,HR,6191,6601,410
Nov,Sales,11822,14369,2547
Nov,Sales,14916,17260,2344
Jan,Marketing,18928,15988,-2940
Dec,Finance,5815,7183,1368
Nov,Finance,5577,8525,2948
Jul,Marketing,5157,5738,581
Feb,Finance,18778,17379,-1399
Jul,Sales,10852,10231,-621
Apr,Finance,10176,10697,521
Mar,Marketing,6026,3303,-2723
Nov,Operations,10471,12725,2254
Nov,Sales,19636,19887,251
Jun,Marketing,15644,12784,-2860
Dec,HR,18710,16916,-1794
Apr,Operations,19598,18244,-1354
Aug,Marketing,6532,8040,1508
Oct,IT,12058,9373,-2685
May,IT,15304,17585,2281
Jul,Marketing,13735,13339,-396
Feb,IT,10660,10307,-353
Sep,Sales,19724,20136,412
Jun,Marketing,13982,13491,-491
Jun,Finance,14129,11768,-2361
Dec,Operations,11589,13552,1963
Jan,HR,12247,14379,2132
Jul,Operations,16842,17615,773
May,IT,13359,15826,2467
Apr,IT,14959,15294,335
May,IT,11660,12953,1293
May,HR,16287,15080,-1207
Oct,IT,7662,5916,-1746
Feb,Finance,11355,12844,1489
Jun,IT,14596,13858,-738
Oct,IT,15418,14352,-1066
Jan,Finance,8655,10450,1795
Nov,Finance,6571,9349,2778
Apr,IT,7402,7084,-318
Dec,HR,18069,16151,-1918
Mar,HR,12253,13269,1016
Jan,Sales,17103,19010,1907
Nov,HR,5455,6345,890
May,Sales,9136,8558,-578
Jul,Operations,13559,13275,-284
Jul,Sales,5543,6638,1095
Feb,HR,7066,4601,-2465
Jan,Sales,17744,16489,-1255
Jul,HR,16211,18649,2438
Sep,Finance,6514,7473,959
Oct,IT,5163,7769,2606
May,IT,7065,5780,-1285
Nov,Finance,6752,5696,-1056
Dec,Marketing,12669,10679,-1990
Jan,IT,11679,12643,964
Mar,IT,19017,18309,-708
Oct,Sales,11973,13067,1094
Nov,HR,5457,4134,-1323
Dec,Marketing,19328,17787,-1541
Mar,HR,19056,16767,-2289
May,Marketing,7669,5481,-2188
Aug,HR,19006,19243,237
Oct,IT,8686,10048,1362
Sep,Marketing,16299,15142,-1157
Mar,Marketing,9476,11930,2454
Nov,Sales,12560,12270,-290
Oct,IT,5292,4277,-1015
Dec,Marketing,14360,15869,1509
Aug,HR,19512,18602,-910
Feb,Finance,18432,16382,-2050
Jan,HR,15983,15232,-751
Nov,IT,6554,8710,2156
Oct,Operations,9022,9923,901
May,Operations,14815,16482,1667
Jul,IT,8262,7631,-631
Aug,Finance,18392,20200,1808
Oct,HR,19905,22830,2925
Jun,Operations,13290,13151,-139
Jun,Sales,13559,12086,-1473
Sep,Marketing,7203,9574,2371
Aug,HR,6486,6033,-453
Dec,IT,12142,9806,-2336
Feb,Finance,10167,12997,2830
Oct,Marketing,7910,7053,-857
Apr,HR,11154,13027,1873
Jun,HR,5180,2679,-2501
Jan,Finance,14667,15490,823
Aug,Finance,7739,10275,2536
Nov,IT,18197,19684,1487
Sep,Finance,13974,14403,429
Nov,HR,17811,17546,-265
Nov,Finance,19758,21230,1472
Jan,Sales,15467,13073,-2394
May,Sales,7636,7869,233
May,HR,7218,7475,257
Apr,IT,5904,6722,818
Mar,IT,7841,5219,-2622
Jun,Marketing,12765,11937,-828
Dec,Sales,6324,5382,-942
Nov,Sales,5162,7164,2002
Jul,Finance,14875,12173,-2702
Apr,Operations,14343,13802,-541
Apr,Operations,15298,14127,-1171
Jun,IT,11365,9573,-1792
Jan,Operations,5247,7910,2663
Aug,Sales,11038,8462,-2576
Aug,Operations,9608,10863,1255
Mar,Operations,15040,13393,-1647
Jul,Operations,9759,8283,-1476
May,Sales,18299,21118,2819
May,Marketing,10305,7893,-2412
Jan,Marketing,7416,7822,406
Sep,Marketing,7887,8536,649
Mar,IT,17222,18980,1758
Jan,Operations,14022,14893,871
Mar,Finance,13765,11384,-2381
Apr,Marketing,5753,6897,1144
Jun,Operations,14459,13286,-1173
Oct,Sales,13548,14933,1385
May,Finance,13342,14321,979
Dec,Operations,5561,2618,-2943
Dec,Sales,14648,17315,2667
Feb,Finance,15416,14448,-968
Apr,IT,19805,22533,2728
Jul,IT,17794,16493,-1301
Dec,Sales,17163,19298,2135
Apr,Marketing,11492,10168,-1324
Mar,Marketing,15287,16552,1265
Feb,Operations,10815,10817,2
Feb,IT,11918,14197,2279
Jun,Finance,6489,5500,-989
Aug,Sales,7131,9352,2221
Mar,Sales,19517,18319,-1198
Feb,Finance,15005,14051,-954
Jun,HR,12013,9238,-2775
Nov,Finance,8179,10747,2568
Feb,Finance,9740,12078,2338
Dec,HR,13855,10910,-2945
Feb,HR,6280,6094,-186
Mar,Operations,10302,8182,-2120
Apr,Sales,12628,10722,-1906
Oct,IT,18395,15545,-2850
Jun,IT,16083,17980,1897
Oct,Sales,12454,14743,2289
Sep,Sales,18873,19225,352
Aug,HR,15859,15709,-150
Feb,IT,19738,19133,-605
Sep,Marketing,18111,20282,2171
Sep,Marketing,6192,5459,-733
Jan,Operations,15328,13295,-2033
Aug,Finance,11874,14636,2762
Oct,Sales,7367,10037,2670
Nov,Operations,10750,11387,637
Jun,HR,9417,10722,1305
Nov,Sales,18768,20510,1742
Aug,Operations,10297,12220,1923
Apr,Sales,18669,16627,-2042
Dec,Operations,10557,10222,-335
Mar,Sales,7688,7486,-202
Jun,Marketing,16512,13671,-2841
Mar,Operations,12076,14258,2182
Sep,IT,14542,12684,-1858
Nov,Operations,8599,11371,2772
Oct,Operations,16513,14272,-2241
Jun,IT,17566,18919,1353
Nov,Operations,15306,15904,598
Jun,Marketing,15913,16784,871
Sep,Finance,7377,9697,2320
Sep,IT,5800,6669,869
Jan,HR,8542,11540,2998
Apr,Operations,5584,8256,2672
Mar,IT,12999,15401,2402
Aug,Finance,9310,9898,588
Jun,Marketing,7194,7273,79
Aug,HR,12132,14183,2051
Mar,Operations,10931,13524,2593
Jun,HR,14462,13225,-1237
Feb,IT,18949,17640,-1309
Apr,Finance,7852,6641,-1211
Nov,Sales,9652,9161,-491
Jun,Sales,8890,10434,1544
Jun,Marketing,7780,9042,1262
Jun,IT,18886,19317,431
Mar,Finance,6136,4442,-1694
Jul,Sales,6864,7289,425
Feb,IT,15827,14271,-1556
Aug,IT,11459,10504,-955
Nov,IT,7192,7264,72
Nov,HR,12686,10174,-2512
May,IT,12699,10601,-2098
Nov,Marketing,19275,17218,-2057
Feb,IT,6939,5445,-1494
Oct,Operations,19128,16888,-2240
May,Finance,7415,8216,801
Dec,Operations,9101,11393,2292
May,HR,9669,7759,-1910
Oct,Operations,10729,11553,824
Jan,Marketing,11486,11904,418
Jun,Sales,13063,15293,2230
Mar,Sales,16040,13918,-2122
Dec,IT,8888,6348,-2540
Jan,Operations,7093,5292,-1801
Jul,HR,13109,10528,-2581
Feb,HR,16898,16444,-454
Dec,Operations,8284,9465,1181
Jan,Finance,14650,15387,737
Jun,Sales,18192,15284,-2908
Jun,Sales,15266,14872,-394
May,HR,15026,17450,2424
Apr,HR,5937,6462,525
Mar,Operations,16783,15105,-1678
Jun,Operations,6415,8152,1737
May,Marketing,11115,11613,498
Nov,Operations,11507,12864,1357
Jan,Sales,14584,16089,1505
Nov,Sales,16293,15592,-701
Jan,HR,9500,11919,2419
Feb,Sales,6739,4991,-1748
Jun,Marketing,11860,13339,1479
Nov,Finance,9822,6824,-2998
Mar,IT,7119,6360,-759
Mar,Operations,9695,8873,-822
Jan,HR,17627,17306,-321
Feb,Operations,6698,6138,-560
Jan,IT,10925,11360,435
Aug,Operations,14253,13300,-953
Jun,Operations,5625,3717,-1908
Jun,Finance,16524,15300,-1224
Mar,Operations,18028,17973,-55
Oct,HR,9891,10404,513
Apr,Sales,14425,14160,-265
Aug,Finance,6369,7352,983
Apr,Sales,15436,14650,-786
Jul,Marketing,6068,8799,2731
Dec,Finance,8348,7656,-692
Mar,HR,11022,9367,-1655
Apr,Finance,11145,9401,-1744
Dec,Marketing,6627,7176,549
Apr,IT,5774,3912,-1862
Aug,Sales,16464,15023,-1441
Jul,Finance,14115,11301,-2814
Apr,IT,9141,9302,161
Sep,Marketing,9685,8281,-1404
Mar,Operations,16553,14102,-2451
Dec,Finance,19465,18661,-804
Aug,Marketing,13848,13760,-88
Dec,Sales,11399,12761,1362
Sep,Operations,18676,17569,-1107
Dec,Finance,17672,19991,2319
Feb,Marketing,6360,5907,-453
Oct,Marketing,16579,16061,-518
Nov,Operations,13278,12510,-768
Apr,IT,11337,13912,2575
Aug,Sales,5988,3020,-2968
Sep,Marketing,10357,11679,1322
Jul,Finance,8531,10152,1621
Mar,Operations,9630,10345,715
Jul,Sales,11257,12333,1076
Aug,Sales,5050,6802,1752
Feb,Finance,13392,12337,-1055
May,Finance,7570,9604,2034
Jan,Sales,9938,9462,-476
Dec,Marketing,6923,4502,-2421
Feb,Finance,6274,8691,2417
Jul,HR,19067,20975,1908
Mar,HR,10232,11802,1570
Apr,Marketing,9774,12259,2485
May,IT,11261,11921,660
Feb,Operations,11167,8992,-2175
Nov,HR,12882,11501,-1381
Sep,Operations,19851,22126,2275
Oct,Sales,10327,10562,235
Oct,IT,6447,6653,206
Feb,Operations,10654,10211,-443
Jun,Operations,19025,16475,-2550
Feb,Finance,19719,18743,-976
Apr,IT,5666,6186,520
Jul,HR,8644,8136,-508
Dec,Finance,8974,8497,-477
Jan,Marketing,9447,9021,-426
Mar,Marketing,16480,15988,-492
Mar,Finance,8327,5427,-2900
Jan,HR,17613,16520,-1093
Apr,Sales,5787,3771,-2016
Apr,Sales,10067,7501,-2566
Jul,Operations,17583,19063,1480
Nov,Finance,5396,7497,2101
Dec,Sales,8327,7979,-348
Nov,Operations,9488,6551,-2937
May,Operations,19090,19589,499
Nov,Sales,5422,2921,-2501
May,Marketing,7419,7832,413
Oct,Marketing,14845,14586,-259
Jun,Operations,6625,9178,2553
Nov,Operations,14127,14739,612
Jul,Operations,10368,8159,-2209
Mar,HR,10825,13114,2289
Nov,Finance,16284,18569,2285
Jan,Sales,16886,15458,-1428
Jan,Operations,19658,18044,-1614
Jun,Operations,6241,5320,-921
Apr,HR,11260,10339,-921
May,Finance,13138,15087,1949
Jul,Operations,11171,13272,2101
Jul,HR,5249,6418,1169
Jun,Operations,14188,13582,-606
May,Finance,10084,10001,-83
Sep,Marketing,12673,12373,-300
Jun,Sales,19748,18197,-1551
Oct,Operations,8397,8257,-140
Dec,Finance,8577,9476,899
Aug,Operations,14594,16313,1719
Mar,HR,7173,9386,2213
May,Marketing,17460,17802,342
Nov,Marketing,5253,5260,7
Jul,HR,12082,11175,-907
Jan,HR,16755,16072,-683
Oct,Finance,5991,6244,253
Jun,Operations,13478,14492,1014
Jul,Sales,11448,10591,-857
Oct,Finance,7558,5666,-1892
Jul,HR,13394,13932,538
May,HR,10159,7328,-2831
Sep,Operations,9666,9863,197
Oct,Marketing,7678,7597,-81
Sep,HR,17401,16556,-845
Apr,Finance,6688,8997,2309
Nov,Marketing,6903,8801,1898
Mar,Operations,9768,8808,-960
Sep,Sales,8139,9283,1144
Apr,Marketing,8346,6997,-1349
Aug,Operations,10427,8093,-2334
Jan,HR,17624,16693,-931
Oct,IT,15677,18530,2853
Aug,Marketing,8865,8947,82
Jun,HR,9236,11995,2759
Oct,HR,13828,16671,2843
Feb,Finance,14498,13374,-1124
Jul,Operations,19949,19744,-205
Jan,HR,13176,14977,1801
Jan,HR,16113,15945,-168
Sep,Sales,13802,12143,-1659
Mar,IT,15421,15410,-11
Feb,HR,15961,16850,889
Feb,Marketing,19236,21459,2223
Mar,Sales,11867,12943,1076
Oct,Sales,6793,9307,2514
Feb,Operations,15346,18111,2765
Feb,IT,18964,21784,2820
Sep,IT,5495,3192,-2303
Mar,IT,6375,6435,60
Sep,IT,15507,14732,-775
May,Sales,15269,13843,-1426
Apr,Sales,12378,12242,-136
Mar,Sales,8875,8385,-490
Sep,IT,6301,8194,1893
Feb,Finance,19631,20123,492
May,Sales,5054,6302,1248
Dec,HR,9788,9939,151
Dec,Finance,10212,7798,-2414
Aug,Marketing,12908,13875,967
Sep,HR,9490,11437,1947
Apr,Operations,11469,8807,-2662
Feb,IT,10168,7503,-2665
Feb,Operations,6921,6109,-812
Feb,Finance,14350,11438,-2912
Jan,HR,6496,4346,-2150
Oct,Sales,17426,18285,859
Dec,IT,13484,15242,1758
Aug,IT,6733,8572,1839
Apr,Operations,19051,19590,539
Apr,IT,16911,19442,2531
May,Finance,13960,14694,734
Nov,Finance,8841,6447,-2394
Jul,Finance,10355,10961,606
Apr,Operations,18034,20174,2140
Mar,HR,15119,13977,-1142
Jan,Operations,15273,16492,1219
Sep,Marketing,6995,4560,-2435
Jul,HR,6519,6536,17
Apr,HR,11119,8297,-2822
Jun,Finance,9431,9690,259
Jun,Marketing,13815,14630,815
Oct,Operations,10067,10031,-36
May,Finance,11844,13605,1761
Jan,Finance,5127,2316,-2811
Sep,Sales,12673,15309,2636
Dec,Finance,9758,12036,2278
May,Sales,6731,6477,-254
May,IT,19807,22293,2486
Mar,Operations,17778,17856,78
Aug,Marketing,16814,14033,-2781
Jan,IT,10618,13451,2833
Jan,Finance,12026,10423,-1603
Feb,Operations,9542,9346,-196
Mar,Marketing,8845,7409,-1436
May,IT,14997,13716,-1281
Jul,Sales,13286,14216,930
May,Sales,18971,16351,-2620
Aug,Finance,11277,10020,-1257
Apr,IT,15694,15078,-616
Oct,Operations,5089,5070,-19
Feb,HR,8862,10782,1920
Dec,HR,7422,4692,-2730
Jan,Operations,8187,6603,-1584
Oct,HR,14549,12911,-1638
Jan,IT,11038,8693,-2345
Nov,Marketing,16557,15031,-1526
Jan,Marketing,19779,17258,-2521
Jun,HR,18037,19407,1370
Jan,Finance,15596,16764,1168
Jul,Operations,15175,16504,1329
Oct,Sales,10341,9712,-629
Sep,Finance,6885,9438,2553
Sep,HR,15296,14150,-1146
Jan,Marketing,19766,22014,2248
Jan,Operations,10630,7862,-2768
May,HR,9936,10701,765
Mar,Operations,14607,14231,-376
Jan,IT,13409,16294,2885
Apr,Marketing,6531,4013,-2518
Apr,Operations,14837,17802,2965
Mar,Finance,13751,16499,2748
Oct,Finance,12772,13013,241
Aug,HR,15040,12106,-2934
Apr,Sales,14520,17012,2492
Mar,HR,18764,15826,-2938
May,Finance,18547,20595,2048
Feb,Finance,16822,17581,759
Sep,Operations,9168,10618,1450
Nov,Sales,7862,5927,-1935
Jun,HR,8585,8262,-323
May,Operations,7371,5990,-1381
Nov,HR,18370,21198,2828
May,Finance,16368,18380,2012
Feb,Marketing,16108,15910,-198
Sep,Marketing,15583,14507,-1076
Feb,Operations,11468,11302,-166
Jun,Finance,11893,10201,-1692
Aug,Finance,9332,8478,-854
May,IT,13203,14785,1582
May,IT,11158,9202,-1956
Oct,HR,18079,15136,-2943
May,Operations,13762,15129,1367
Sep,Finance,10697,12567,1870
Jan,Operations,18918,20884,1966
Jun,Operations,11899,14750,2851
Apr,Marketing,7853,5310,-2543
Jun,Marketing,15190,17601,2411
Dec,Sales,12390,14736,2346
Apr,Finance,10603,9854,-749
Aug,IT,7601,9347,1746
Feb,Operations,9712,10044,332
Jun,Operations,18155,16729,-1426
May,Finance,8547,8968,421
Oct,Finance,9725,7542,-2183
Jan,Operations,18724,19445,721
Mar,Sales,19733,21763,2030
Sep,Marketing,9715,7712,-2003
Aug,Finance,9261,6482,-2779
Feb,IT,12394,15267,2873
Jun,Marketing,13113,15015,1902
Nov,HR,7346,7379,33
Oct,Sales,6708,8604,1896
Sep,HR,18535,16396,-2139
Jun,IT,18081,19577,1496
Jun,Marketing,17528,20128,2600
Nov,HR,7375,8213,838
Apr,HR,14359,17095,2736
Dec,Operations,17426,18700,1274
Feb,Marketing,7941,7833,-108
May,IT,12833,14305,1472
Mar,HR,8432,11139,2707
Mar,Finance,5210,4518,-692
Nov,IT,17317,15803,-1514
May,Finance,14658,14288,-370
Apr,Sales,18067,18167,100
Oct,Operations,6984,6128,-856
Aug,Marketing,9180,6661,-2519
Dec,Marketing,9318,7943,-1375
Sep,IT,10680,8154,-2526
Nov,IT,11933,12259,326
Oct,Marketing,14090,11269,-2821
May,Marketing,15778,13283,-2495
Apr,Operations,10864,12624,1760
May,IT,6963,8070,1107
Apr,Marketing,10346,12218,1872
Sep,Finance,19313,18796,-517
Dec,Marketing,11383,11116,-267
Apr,HR,8560,9814,1254
Dec,Marketing,17948,18057,109
Feb,Operations,17984,15851,-2133
Jun,Operations,17635,19860,2225
Aug,Finance,15388,14403,-985
Oct,HR,14848,16350,1502
Apr,HR,9557,7247,-2310
Aug,IT,16747,18179,1432
Sep,Finance,12933,11683,-1250
Sep,Finance,16804,17867,1063
Jun,Sales,14926,13140,-1786
Nov,Finance,9752,10299,547
Dec,Finance,17277,14945,-2332
Feb,HR,8353,6483,-1870
Jun,Marketing,6783,5967,-816
Jun,Sales,13807,14412,605
Jul,Sales,10955,9770,-1185
Sep,Sales,9278,7596,-1682
Jan,Operations,10574,11816,1242
Aug,IT,17674,18787,1113
Jan,IT,6019,3267,-2752
May,Marketing,5206,7954,2748
Apr,Operations,9111,7850,-1261
Jul,IT,10070,10677,607
Apr,HR,11246,13303,2057
Mar,Sales,14230,15675,1445
May,Sales,13646,14275,629
Mar,Operations,13001,11832,-1169
Jun,Finance,15264,14352,-912
Jul,IT,9953,7183,-2770
Jan,Sales,7855,7746,-109
May,Sales,18005,15458,-2547
Nov,Operations,15865,13834,-2031
Oct,Marketing,10015,8122,-1893
Apr,Finance,5446,7414,1968
Aug,Operations,15017,14626,-391
May,HR,15472,17470,1998
Aug,Marketing,14268,15503,1235
Sep,Operations,16767,15233,-1534
Mar,HR,13616,12930,-686
Oct,Finance,6630,8410,1780
Aug,Operations,7380,5339,-2041
May,Operations,10483,9062,-1421
Apr,IT,10875,12970,2095
Feb,HR,18135,18490,355
Dec,HR,10498,8929,-1569
Apr,HR,7658,6117,-1541
Jul,Sales,6443,7951,1508
Oct,Operations,18803,19417,614
Oct,Marketing,14588,13709,-879
Oct,IT,13331,15403,2072
Mar,Operations,18054,19613,1559
Apr,Marketing,17370,17174,-196
Feb,HR,6281,7347,1066
Feb,Finance,7974,6566,-1408
Oct,Finance,13942,12266,-1676
Apr,Sales,11110,10167,-943
May,IT,8296,6323,-1973
May,Marketing,14178,16947,2769
Jul,Sales,9214,7731,-1483
Oct,Finance,9092,10187,1095
Jul,Finance,6444,3543,-2901
Mar,Marketing,18713,21688,2975
Dec,Marketing,6278,7468,1190
May,Operations,19556,18699,-857
Feb,Operations,9939,9514,-425
Dec,IT,5571,3063,-2508
Jan,Finance,14812,15869,1057
Apr,Marketing,16619,18876,2257
Apr,Finance,16038,15598,-440
Jun,HR,8809,7161,-1648
Sep,IT,13274,13644,370
Nov,Finance,8117,8921,804
Oct,Finance,6566,8321,1755
Apr,HR,15755,18521,2766
Sep,Operations,16630,16637,7
Feb,HR,5424,8197,2773
Jan,Finance,12324,14480,2156
Nov,Operations,14548,13644,-904
Aug,Marketing,14808,14157,-651
Jul,Sales,12167,11364,-803
Sep,Finance,18024,19038,1014
Mar,Operations,13457,14086,629
Aug,HR,18113,16984,-1129
Oct,HR,14578,12337,-2241
Nov,IT,9004,6420,-2584
Dec,Sales,18089,18795,706
Aug,Marketing,5141,3710,-1431
Oct,IT,8677,9194,517
Jul,Operations,5876,7934,2058
Mar,Finance,11206,10313,-893
Jun,Operations,6687,6526,-161
Jan,Finance,18442,16669,-1773
Jan,Sales,8516,9460,944
Oct,Operations,11939,9623,-2316
Aug,IT,8394,8371,-23
Oct,Operations,10910,13744,2834
Jun,Operations,11059,12329,1270
Nov,IT,14238,13176,-1062
Apr,Operations,14185,16063,1878
Nov,Sales,19299,18507,-792
Oct,Marketing,9679,6774,-2905
Apr,Operations,11273,13148,1875
May,HR,14720,14054,-666
May,Marketing,10624,8393,-2231
Aug,IT,17687,19061,1374
Mar,Finance,19790,18912,-878
Feb,Marketing,10991,9479,-1512
Aug,Marketing,16793,19111,2318
Apr,Finance,17104,19370,2266
Mar,IT,12436,12797,361
Feb,Finance,7441,8047,606
Aug,HR,16425,19133,2708
Feb,HR,18931,20459,1528
Dec,Finance,19621,20204,583
Dec,Finance,7307,10217,2910
